2025-08-25 14:55:17,Pickens,42 min
2025-08-25 14:55:17,Greer,43 min
2025-08-25 14:55:17,Fountain Inn,1 min
2025-08-25 14:55:17,Spartanburg - Fairforest Road,8 min
2025-08-25 14:55:17,Woodruff,45 min
2025-08-25 14:55:17,Belton,0 min
2025-08-25 14:55:17,Anderson,1 min
2025-08-25 14:55:17,Spartanburg - Southport Road,16 min
2025-08-25 14:55:17,Seneca,9 min
2025-08-25 14:55:17,Laurens,17 min
2025-08-25 14:55:17,Gaffney,0 min
2025-08-25 14:55:17,Union,0 min
2025-08-25 14:55:17,Abbeville,0 min
2025-08-25 14:55:17,Greenwood,7 min
2025-08-25 14:55:17,Saluda,0 min
2025-08-25 14:55:17,Rock Hill,18 min
2025-08-25 15:00:20,Greenville - Saluda Dam,71 min
2025-08-25 15:00:20,Greenville - Edgeworth,63 min
2025-08-25 15:00:20,Pickens,31 min
2025-08-25 15:00:20,Greer,38 min
2025-08-25 15:00:20,Fountain Inn,0 min
2025-08-25 15:00:20,Spartanburg - Fairforest Road,11 min
2025-08-25 15:00:20,Woodruff,39 min
2025-08-25 15:00:20,Belton,1 min
2025-08-25 15:00:20,Anderson,5 min
2025-08-25 15:00:20,Spartanburg - Southport Road,18 min
2025-08-25 15:00:20,Seneca,9 min
2025-08-25 15:00:20,Laurens,17 min
2025-08-25 15:00:20,Gaffney,3 min
2025-08-25 15:00:20,Union,0 min
2025-08-25 15:00:20,Abbeville,1 min
2025-08-25 15:00:20,Greenwood,12 min
2025-08-25 15:00:20,Saluda,0 min
2025-08-25 15:00:20,Rock Hill,15 min
2025-08-25 15:05:20,Greenville - Saluda Dam,64 min
2025-08-25 15:05:20,Greenville - Edgeworth,67 min
2025-08-25 15:05:20,Pickens,35 min
2025-08-25 15:05:20,Greer,42 min
2025-08-25 15:05:20,Fountain Inn,1 min
2025-08-25 15:05:20,Spartanburg - Fairforest Road,8 min
2025-08-25 15:05:20,Woodruff,44 min
2025-08-25 15:05:20,Belton,5 min
2025-08-25 15:05:20,Anderson,9 min
2025-08-25 15:05:20,Spartanburg - Southport Road,18 min
2025-08-25 15:05:20,Seneca,3 min
2025-08-25 15:05:20,Laurens,21 min
2025-08-25 15:05:20,Gaffney,9 min
2025-08-25 15:05:20,Union,4 min
2025-08-25 15:05:20,Abbeville,3 min
2025-08-25 15:05:20,Greenwood,9 min
2025-08-25 15:05:20,Saluda,0 min
2025-08-25 15:05:20,Rock Hill,14 min
2025-08-25 15:10:06,Greenville - Saluda Dam,68 min
2025-08-25 15:10:06,Greenville - Edgeworth,71 min
2025-08-25 15:10:06,Pickens,27 min
2025-08-25 15:10:06,Greer,47 min
2025-08-25 15:10:06,Fountain Inn,1 min
2025-08-25 15:10:06,Spartanburg - Fairforest Road,12 min
2025-08-25 15:10:06,Woodruff,48 min
2025-08-25 15:10:06,Belton,0 min
2025-08-25 15:10:06,Anderson,3 min
2025-08-25 15:10:06,Spartanburg - Southport Road,8 min
2025-08-25 15:10:06,Seneca,0 min
2025-08-25 15:10:06,Laurens,25 min
2025-08-25 15:10:06,Gaffney,12 min
2025-08-25 15:10:06,Union,8 min
2025-08-25 15:10:06,Abbeville,7 min
2025-08-25 15:10:06,Greenwood,10 min
2025-08-25 15:10:06,Saluda,0 min
2025-08-25 15:10:06,Rock Hill,10 min
2025-08-25 15:15:17,Greenville - Saluda Dam,62 min
2025-08-25 15:15:17,Greenville - Edgeworth,71 min
2025-08-25 15:15:17,Pickens,26 min
2025-08-25 15:15:17,Greer,52 min
2025-08-25 15:15:17,Fountain Inn,4 min
